Command: ['unet.py', '--hpu', '--use_lazy_mode', '--run-name', '128-batch-256-1', '--epochs', '50', '--image-size', '128', '--batch-size', '256', '--cache-path', 'kaggle_duped_cache', '--weights-file', '128-b-256-1.pt']
Begin CSV
type,epoch,time,loss,dsc
loaders_init,,12.210153818130493,,
train,1,145.47637271881104,0.9525262029082687,
eval,1,11.001099586486816,0.9824271996816, 0.056369442644130775
train,2,106.94759798049927,0.936763526112945,
eval,2,0.6886081695556641,0.9802219271659851, 0.10189240665547747
train,3,108.30493521690369,0.931480242146386,
eval,3,0.6951286792755127,0.9792528947194418, 0.0949088463422977
train,4,113.06262707710266,0.9266359916439763,
eval,4,0.7002038955688477,0.9789415001869202, 0.10611715073827681
train,5,110.81528759002686,0.922349723400893,
eval,5,0.6810216903686523,0.978362500667572, 0.08494023904382471
train,6,108.81271266937256,0.9178125383677306,
eval,6,0.7905423641204834,0.9769075314203898, 0.12567977450424486
train,7,110.78915143013,0.9130257544694124,
eval,7,0.6792545318603516,0.9761762817700704, 0.10777049216601262
train,8,107.73083591461182,0.9077722463342879,
eval,8,0.6806199550628662,0.9752993782361349, 0.14427218842418613
train,9,108.38284420967102,0.9022312396102481,
eval,9,0.7320973873138428,0.9739934206008911, 0.1061764388887044
train,10,108.84940886497498,0.8970119920041826,
eval,10,0.7014472484588623,0.9751113057136536, 0.10707771561967847
train,11,109.73965334892273,0.8899820579422845,
eval,11,0.702650785446167,0.9748867948849996, 0.14008142087855938
train,12,108.60073804855347,0.8827727823345749,
eval,12,0.680126428604126,0.9740115602811178, 0.1318305654451728
train,13,109.52986335754395,0.8756917163177773,
eval,13,0.6943533420562744,0.9731392065684, 0.16056024649426875
train,14,110.5229709148407,0.8669710291756524,
eval,14,0.6796720027923584,0.9731835921605428, 0.13262786192171375
train,15,108.66121339797974,0.8577311138312022,
eval,15,0.6996273994445801,0.9732779065767924, 0.07405426594321361
train,16,108.53739523887634,0.8467072093928302,
eval,16,0.697171688079834,0.9773302872975668, 0.06301856022066028
train,17,108.03414583206177,0.8348920422571676,
eval,17,0.6964986324310303,0.9733936190605164, 0.133504732281241
train,18,108.76006436347961,0.8206135597493913,
eval,18,0.6816492080688477,0.9744463165601095, 0.1180998613037448
train,19,108.14762616157532,0.8059411689087197,
eval,19,0.6849730014801025,0.9721172451972961, 0.125734102960387
train,20,109.06427121162415,0.7885592160401521,
eval,20,1.7558343410491943,0.971677839756012, 0.12726363181590797
train,21,113.67493176460266,0.7734773092799716,
eval,21,0.7179224491119385,0.9721631606419882, 0.12456892063248293
train,22,127.75687980651855,0.7527875778851686,
eval,22,0.7443671226501465,0.9724379976590475, 0.10778365244768409
train,23,130.5951211452484,0.731457045784703,
eval,23,0.7320675849914551,0.9492041865984598, 0.23085542669076958
train,24,133.6103789806366,0.7072435010362554,
eval,24,0.7676346302032471,0.9691957036654154, 0.1274071353014355
train,25,135.55343055725098,0.6826010898307517,
eval,25,0.9439539909362793,0.967776894569397, 0.13694181326116373
train,26,130.59075784683228,0.6704296160627294,
